transaction_id,date,customer_id,product_id,category,region,sales_amount,quantity,discount_percent,tax_amount,shipping_cost,total_amount,status,payment_method,customer_segment,delivery_days,rating,is_repeat_customer,promotion_applied,season,year,month
24,2021-09-05,4637,3950,Clothing,West,4518.09,2,10,361.45,39.81,4467.54,Delivered,Cash,Standard,12,3,False,False,Fall,2021,9
25,2021-04-30,67,1803,Beauty,East,1913.01,12,20,153.04,14.79,1698.24,Shipped,Credit Card,VIP,12,1,False,True,Spring,2021,4
26,2022-10-24,944,2233,Food,West,4568.3,6,10,,45.7,4522.63,Pending,PayPal,Standard,20,5,True,False,Fall,2022,10
27,2020-03-17,4426,3531,Clothing,Central,1528.78,16,0,122.3,4.86,1655.94,Delivered,PayPal,Basic,9,1,False,True,Spring,2020,3
28,2021-05-13,2692,1046,Furniture,Central,4944.22,19,5,,3.43,5095.98,,PayPal,VIP,24,4,True,True,Spring,2021,5
29,2022-12-03,3634,2323,Furniture,East,1515.14,1,0,121.21,49.93,1686.28,Cancelled,Credit Card,Standard,29,3,False,True,Winter,2022,12
30,2023-11-07,4558,6400,Toys,West,4615.7,3,0,369.26,41.59,5026.55,Cancelled,Credit Card,Basic,9,4,True,False,Fall,2023,11
31,2021-12-19,4346,7878,Furniture,East,40.47,5,20,3.24,32.87,68.49,Pending,Cash,VIP,7,1,True,False,Winter,2021,12
32,2020-04-22,3528,7229,Food,East,48.36,10,,3.87,38.37,88.18,Returned,Cash,,11,5,False,True,Spring,2020,4
33,2021-09-27,2863,3419,Furniture,South,3731.57,8,10,298.53,38.96,3695.9,Returned,Bank Transfer,Basic,21,,False,False,Fall,2021,9
34,2020-03-18,4755,1672,Garden,East,293.88,10,0,23.51,32.23,349.62,Delivered,Debit Card,VIP,17,2,False,False,Spring,2020,3
35,2021-11-06,668,3317,Books,West,481.58,13,10,38.53,12.6,484.55,Returned,Cash,Premium,6,3,False,True,Fall,2021,11
36,2023-01-10,1482,3712,Electronics,South,4177.25,17,0,334.18,33.1,4544.53,Cancelled,Debit Card,VIP,10,5,True,True,Winter,2023,1
37,2020-07-29,3584,4637,Sports,West,3559.89,17,30,284.79,,2782.94,Pending,Debit Card,VIP,5,4,True,True,Summer,2020,7
38,2022-12-16,909,9189,Electronics,Central,2122.04,10,5,169.76,15.06,2200.76,Delivered,PayPal,Premium,16,4,False,False,Winter,2022,12
39,2024-04-29,3807,8840,Furniture,West,2913.7,11,5,233.1,2.22,3003.33,Returned,Credit Card,Standard,28,3,False,False,Spring,2024,4
40,2022-10-13,1479,6262,Sports,East,3463.42,12,30,277.07,25.96,2727.42,Returned,PayPal,Premium,21,5,True,True,Fall,2022,10
41,2021-04-28,3048,2259,Home,East,3894.79,12,10,311.58,19.14,3836.03,Pending,Cash,Basic,16,2,False,False,Spring,2021,4
42,2023-09-29,1427,9335,Food,South,,3,20,139.49,27.11,1561.52,Delivered,Cash,VIP,25,,False,False,Fall,2023,9
43,2023-02-03,1254,3653,Food,Central,3202.57,6,30,256.21,48.31,2546.32,Returned,Debit Card,Standard,20,5,True,True,Winter,2023,2
44,2021-03-07,3957,7653,Clothing,South,3837.13,14,20,306.97,31.95,3408.62,Pending,Debit Card,Premium,15,4,True,False,Spring,2021,3
45,2024-07-24,2528,2475,Home,South,1643.9,19,25,131.51,15.64,1380.08,,Credit Card,Basic,25,1,True,False,Summer,2024,7
46,2023-06-30,1182,9341,Electronics,South,3405.19,4,5,272.42,48.75,3556.1,Pending,Bank Transfer,Basic,17,5,False,True,Summer,2023,6
47,2024-06-19,421,3793,Garden,West,4494.85,1,20,359.59,,3979.2,Shipped,Debit Card,VIP,24,2,False,False,Summer,2024,6
48,2021-12-02,2439,4396,Beauty,East,2735.9,9,20,218.87,24.21,2431.8,Cancelled,Debit Card,Basic,3,4,False,False,Winter,2021,12
49,2023-04-16,3870,,Home,South,1204.02,2,25,96.32,45.26,1044.6,Delivered,Credit Card,Standard,24,1,True,True,Spring,2023,4
50,2021-01-16,4451,3198,Beauty,North,4683.68,10,0,,0.46,5058.83,Shipped,Cash,Basic,22,2,,False,Winter,2021,1
51,2024-01-20,4117,6095,Books,South,2868.66,9,25,229.49,17.98,2398.96,Cancelled,Debit Card,Premium,17,1,True,True,Winter,2024,1
52,2020-08-26,3743,8575,Books,West,,19,15,272.37,4.55,3170.89,Delivered,Credit Card,VIP,14,2,False,False,Summer,2020,8
53,2023-09-17,1825,1372,Beauty,Central,4374.02,5,25,349.92,43.01,3673.45,Delivered,Cash,Premium,3,1,True,True,Fall,2023,9
54,2020-04-25,2627,3347,Home,East,709.28,10,5,56.74,40.79,771.35,Delivered,Cash,Basic,14,4,False,True,Spring,2020,4
55,2023-02-25,3685,2514,Food,West,2069.26,14,20,165.54,26.5,1847.45,Cancelled,PayPal,Premium,7,1,False,True,Winter,2023,2
56,2022-08-12,3847,6246,Sports,North,2672.91,12,10,213.83,13.08,2632.53,Shipped,Debit Card,Standard,21,3,False,False,Summer,2022,8
57,2023-01-24,398,7756,Food,,2446.7,18,25,195.74,47.86,2078.62,,Bank Transfer,,24,,False,True,Winter,2023,1
58,2022-12-14,1851,2320,Electronics,West,1269.57,12,10,101.57,39.75,1283.93,Pending,Credit Card,Premium,29,5,True,False,Winter,2022,12
59,2021-10-06,4620,7375,Home,South,88.13,7,20,7.05,7.21,84.76,Delivered,Bank Transfer,VIP,,3,False,False,Fall,2021,10
60,2022-02-17,1264,6188,,East,437.61,20,10,35.01,39.9,468.76,Delivered,PayPal,Basic,1,4,True,True,Winter,2022,2
61,2020-10-25,4062,4203,Furniture,West,325.7,14,10,26.06,21.06,340.25,Returned,PayPal,Standard,6,3,False,True,Fall,2020,10
62,2023-02-28,3592,2133,Toys,South,1007.0,18,5,80.56,34.09,1071.3,Cancelled,Bank Transfer,VIP,26,5,True,True,Winter,2023,2
63,2023-08-14,4250,4621,Toys,Central,3390.58,13,30,271.25,16.58,2661.24,Shipped,PayPal,Standard,12,4,False,False,Summer,2023,8
64,2020-08-11,1900,4022,Toys,Central,3388.93,6,,271.11,12.2,2825.01,Delivered,Bank Transfer,Basic,4,4,False,False,Summer,2020,8
65,2024-07-24,3059,9369,Garden,West,3371.21,10,20,269.7,29.51,2996.18,Pending,PayPal,Premium,1,2,False,False,Summer,2024,7
66,2020-03-04,4058,2854,Books,East,3981.45,8,10,318.52,1.63,3903.45,Shipped,Credit Card,Basic,3,1,True,False,Spring,2020,3
67,2024-05-26,2398,5380,Home,North,1041.03,7,30,83.28,2.97,814.97,Shipped,PayPal,VIP,19,4,True,True,Spring,2024,5
68,2022-07-20,2935,9756,Toys,West,4751.77,11,20,380.14,0.12,4181.68,Delivered,Cash,Standard,1,4,True,False,Summer,2022,7
69,2021-05-27,,8812,Garden,,421.28,6,0,33.7,19.82,474.8,Cancelled,Credit Card,Basic,5,2,True,True,Spring,2021,5
70,2024-03-12,4830,6759,Sports,South,765.36,14,20,61.23,34.33,707.85,Pending,Bank Transfer,VIP,2,2,True,True,Spring,2024,3
71,2020-09-27,137,1225,Electronics,West,1940.32,19,15,155.23,18.27,1822.77,Returned,Credit Card,Standard,5,4,True,False,Fall,2020,9
72,,1125,3684,Sports,East,588.77,20,20,47.1,2.75,,Cancelled,Credit Card,Premium,17,4,True,False,Summer,2022,6
73,2024-02-26,290,7870,Food,East,2549.04,2,30,203.92,43.15,2031.4,Delivered,Credit Card,Basic,10,5,False,False,Winter,2024,2
74,2024-05-01,79,1023,Toys,East,3881.67,18,30,310.53,39.8,3067.5,Delivered,Debit Card,VIP,12,1,True,False,Spring,2024,5
75,2021-04-29,1661,2785,Furniture,East,1465.46,11,30,117.24,19.65,1162.71,Shipped,PayPal,Premium,28,1,False,True,Spring,2021,4
76,2022-04-08,506,4641,Toys,North,4274.46,18,25,341.96,27.51,3575.32,Shipped,PayPal,VIP,30,4,False,True,Spring,2022,4
77,2020-10-31,2292,7868,Home,Central,182.9,20,20,14.63,12.29,173.24,Returned,PayPal,Basic,1,,False,True,Fall,2020,10
78,2024-07-29,1424,6210,Sports,North,3958.27,2,30,316.66,49.82,3137.27,Cancelled,Debit Card,Premium,20,5,False,True,Summer,2024,7
79,2024-11-13,595,7481,Sports,South,1624.71,1,5,129.98,29.33,1702.78,Returned,Bank Transfer,Standard,27,3,False,True,Fall,2024,11
80,2023-03-08,1153,2274,Sports,North,171.59,20,10,,46.05,214.21,Pending,Credit Card,Premium,24,2,False,False,Spring,2023,3
81,2023-08-26,858,3787,Furniture,Central,3793.64,8,5,303.49,22.56,3930.01,Shipped,Cash,Premium,7,5,False,False,Summer,2023,8
82,2020-11-10,1696,5781,Beauty,East,281.98,1,15,22.56,4.38,266.62,Cancelled,Cash,VIP,8,,True,False,Fall,2020,11
83,2020-05-04,2449,1568,Home,Central,4205.58,17,15,336.45,48.28,3959.47,Delivered,Cash,Standard,9,,False,False,Spring,2020,5
84,2023-04-18,866,2654,Home,West,2617.58,14,0,209.41,20.72,2847.71,Cancelled,PayPal,Premium,30,,False,False,Spring,2023,4
85,2021-09-07,1732,7671,Home,North,4871.35,15,30,389.71,41.29,3840.95,Delivered,Debit Card,Standard,2,2,False,True,Fall,2021,9
86,2024-11-17,225,3669,Food,South,2378.17,18,10,190.25,17.21,,Shipped,Bank Transfer,Standard,26,3,False,False,Fall,2024,11
87,2022-03-24,2316,2771,Sports,East,2926.59,1,20,234.13,49.97,2625.37,Delivered,Bank Transfer,Basic,,4,False,False,Spring,2022,3
88,2021-01-23,1393,3967,Beauty,East,1722.4,8,25,137.79,26.73,1456.32,Shipped,PayPal,Basic,19,1,True,True,Winter,2021,1
89,2020-04-20,1174,3954,Beauty,South,4355.54,5,5,348.44,49.62,4535.82,Delivered,Cash,VIP,16,1,False,False,Spring,2020,
90,2024-02-11,2443,8469,Garden,West,1251.63,12,10,100.13,6.45,1233.05,,Debit Card,Standard,1,2,True,False,Winter,2024,2
91,2020-08-09,1255,1152,Clothing,East,3271.3,1,0,261.7,34.49,3567.49,Delivered,Bank Transfer,Basic,7,4,True,True,Summer,2020,8
92,2020-07-01,2097,8483,Books,North,4535.33,19,25,362.83,24.71,3789.04,Delivered,,Standard,6,4,False,True,Summer,2020,7
93,2022-07-23,481,3611,Garden,Central,1366.45,13,25,,42.53,1176.69,Shipped,Cash,VIP,3,,True,False,Summer,2022,7
94,2024-01-28,,3571,Beauty,South,1250.4,12,25,100.03,33.81,1071.64,Cancelled,Credit Card,VIP,16,1,True,False,Winter,2024,1
95,2023-06-21,1827,6439,Garden,East,3191.32,17,20,255.31,10.34,2818.71,Pending,PayPal,Premium,16,4,True,False,Summer,2023,6
96,2024-03-30,,1795,Toys,West,2078.21,19,0,166.26,38.61,2283.08,Returned,PayPal,VIP,20,2,False,False,Spring,2024,3
97,2022-11-15,2381,3173,Furniture,East,1501.58,18,30,120.13,15.7,1186.94,Returned,Cash,,5,1,True,False,Fall,2022,11
98,2023-01-13,3186,5712,Electronics,West,171.21,15,0,13.7,30.81,215.72,Cancelled,PayPal,Standard,7,2,True,True,Winter,2023,1
99,2021-06-25,2643,5934,Garden,North,659.03,19,30,52.72,12.75,526.79,Returned,PayPal,Standard,11,2,False,True,Summer,2021,6
100,2023-06-26,,9468,Sports,Central,,2,25,98.14,44.28,1062.45,Returned,Credit Card,Standard,14,2,False,True,Summer,2023,6
101,2020-06-28,3696,8094,Toys,,375.51,6,30,30.04,12.6,305.5,Returned,PayPal,Basic,15,1,True,False,Summer,2020,6
102,2021-09-02,4401,2394,Sports,Central,3389.67,12,0,271.17,27.68,3688.52,Delivered,Bank Transfer,Premium,3,2,False,False,Fall,2021,9
103,2021-01-31,2592,,Food,West,1595.75,15,10,127.66,30.82,1594.65,Cancelled,Debit Card,Premium,28,5,True,True,Winter,2021,1
104,2024-04-24,3216,5767,Home,West,,2,20,236.34,13.03,2612.79,Shipped,Debit Card,Standard,16,1,False,False,Spring,2024,4
105,2022-01-09,2241,5314,Garden,West,1946.58,15,0,155.73,2.0,2104.31,Pending,PayPal,VIP,1,2,True,False,Winter,2022,1
106,2020-08-30,,1706,Garden,Central,3308.94,14,30,264.72,16.51,2597.49,Returned,PayPal,Standard,16,2,False,True,Summer,2020,8
107,2022-07-17,3439,2577,Garden,Central,2986.7,3,5,238.94,18.91,3095.21,Cancelled,PayPal,VIP,26,4,True,False,Summer,2022,7
108,2024-11-30,1683,6175,Clothing,Central,30901.63,9,5,217.86,0.27,29574.68,Cancelled,Bank Transfer,Basic,16,3,False,True,Fall,2024,11
109,2021-03-15,44,3381,Garden,North,2546.63,11,30,203.73,27.53,2013.9,Pending,Bank Transfer,Standard,,5,True,True,Spring,2021,3
110,,563,5661,Home,East,443.35,9,30,35.47,19.97,,Shipped,Credit Card,Basic,4,3,False,False,Fall,2020,11
111,2022-07-28,1884,7757,Home,East,3411.16,19,30,272.89,1.37,2662.07,Pending,Bank Transfer,Standard,7,2,True,True,Summer,2022,7
112,2020-06-09,2584,5501,Home,South,3382.3,16,20,270.58,0.33,2976.75,Shipped,Credit Card,VIP,,2,True,False,Summer,2020,6
113,2021-12-03,1474,4744,Books,Central,1835.96,16,15,146.88,10.53,1717.98,Cancelled,Bank Transfer,Basic,10,,True,True,Winter,2021,12
114,2024-03-04,4961,9821,Books,Central,1679.94,12,10,134.4,28.02,1674.37,Shipped,PayPal,VIP,3,3,False,False,Spring,2024,3
115,2022-01-13,656,7505,Clothing,West,,17,15,299.36,20.7,3500.76,Cancelled,Debit Card,VIP,5,,False,False,Winter,2022,1
116,2023-01-28,4373,6688,Food,West,2229.78,18,,178.38,29.54,2326.21,Pending,Credit Card,VIP,16,4,True,False,Winter,2023,1
117,2024-01-04,2228,9715,Toys,North,3688.22,13,30,295.06,18.92,2895.73,Delivered,Bank Transfer,Premium,5,1,,True,Winter,2024,1
118,2022-08-07,4450,4148,Books,North,3487.7,2,10,279.02,4.01,,Cancelled,Credit Card,Standard,22,3,True,True,Summer,2022,8
119,2024-11-03,,1688,Beauty,South,3336.81,4,5,266.94,31.65,3468.56,Delivered,Debit Card,Premium,8,5,False,False,Fall,2024,11
120,2021-05-28,2849,8674,Garden,Central,4494.33,16,25,359.55,21.88,3752.18,Returned,Debit Card,Basic,8,1,False,False,Spring,2021,5
121,2021-10-21,3977,1521,Toys,Central,561.22,17,25,44.9,,469.14,Cancelled,Credit Card,Premium,24,4,True,False,Fall,2021,10
122,2021-03-18,1466,7802,Garden,West,4803.33,4,0,384.27,36.26,5223.86,Returned,Cash,Basic,11,4,False,False,Spring,2021,3
5,2024-03-04,,4635,Sports,East,1277.9,15,15,102.23,47.99,1236.44,Pending,Bank Transfer,Basic,3,5,True,False,Spring,2024,3
124,2020-07-14,2851,8115,Clothing,South,2980.2,10,0,238.42,36.54,3255.16,Pending,Debit Card,Standard,22,4,True,False,Summer,2020,7
125,2024-03-06,4582,7476,Food,Central,256.06,13,10,20.48,4.25,255.18,Cancelled,Debit Card,Premium,6,5,False,False,Spring,2024,3
126,2024-03-31,,2823,Beauty,South,3645.15,3,0,291.61,36.98,3973.74,Delivered,Bank Transfer,Standard,7,5,False,True,Spring,2024,3
127,2022-01-07,816,8940,Home,South,4322.77,1,10,345.82,43.37,4279.68,Cancelled,Credit Card,Basic,10,5,True,False,Winter,2022,1
128,2021-07-27,1864,3502,Books,East,1135.66,11,15,90.85,32.85,1089.01,Returned,Cash,Standard,19,,True,True,Summer,2021,7
129,2022-04-22,2187,4783,Food,East,1523.71,9,5,121.9,38.96,1608.38,Cancelled,Debit Card,Standard,25,3,True,True,Spring,2022,4
130,2024-11-10,3117,7457,Garden,Central,3089.13,11,30,247.13,22.88,2432.4,Shipped,Cash,Premium,17,1,False,False,Fall,2024,11
131,2020-04-21,4477,7775,Electronics,Central,3452.87,5,15,276.23,41.49,3252.66,Shipped,Credit Card,VIP,3,4,True,False,Spring,2020,4
132,2024-11-01,2366,2926,,East,758.95,5,5,60.72,38.46,820.18,Cancelled,Cash,Premium,18,5,True,True,Fall,2024,11
133,2023-03-29,4874,3906,Garden,North,4191.69,10,10,335.34,46.02,4153.88,Pending,Credit Card,Basic,14,2,True,True,Spring,2023,3
134,2021-08-11,4258,9154,Furniture,South,2141.0,,10,171.28,26.27,2124.45,Returned,Cash,Basic,21,2,False,False,Summer,2021,8
135,2021-11-13,3925,1582,Beauty,West,1713.39,19,20,137.07,48.01,1555.79,Pending,PayPal,Premium,22,,True,True,Fall,2021,11
136,2023-05-25,3391,4893,Books,East,1953.94,20,0,156.32,43.23,2153.49,Returned,PayPal,Basic,5,1,True,True,Spring,2023,
137,2020-03-31,,6114,Food,South,3438.39,20,30,275.07,4.35,2686.29,Returned,Credit Card,Basic,9,3,True,False,Spring,2020,3
138,2020-04-13,3653,6119,Food,Central,538.58,2,0,43.09,21.32,602.99,Delivered,Cash,Standard,29,3,False,False,Spring,2020,4
139,2022-08-02,877,2162,Home,Central,4230.37,10,30,338.43,17.43,3317.12,Returned,Cash,Basic,8,1,False,False,Summer,2022,8
140,2022-04-11,742,3276,Electronics,South,357.34,4,25,28.59,40.7,337.29,Pending,Cash,Basic,,5,True,True,Spring,2022,4
141,2024-08-07,3136,8130,Furniture,South,4893.69,4,30,391.5,14.11,3831.19,Delivered,Credit Card,VIP,5,4,False,False,Summer,2024,8
142,2021-01-15,4722,1620,Sports,West,2129.61,1,20,170.37,24.91,1898.97,Returned,Bank Transfer,VIP,22,1,False,False,Winter,2021,1
143,2023-03-21,2491,5267,Beauty,Central,3671.73,14,10,293.74,48.03,3646.33,Pending,Bank Transfer,,4,5,False,True,Spring,2023,3
144,2024-10-31,3139,8211,Furniture,East,175.12,3,5,14.01,29.78,210.15,Returned,Cash,Standard,,4,False,True,Fall,2024,10
145,2023-06-04,1981,4193,Furniture,North,4591.03,,10,367.28,13.52,4512.73,Pending,Credit Card,Premium,20,2,True,True,Summer,2023,6
146,2023-08-19,2265,6298,Clothing,North,2834.68,6,0,226.77,34.78,3096.23,Shipped,Debit Card,Premium,25,5,False,True,Summer,2023,8
147,2020-02-08,3206,9444,Beauty,West,4483.6,5,25,,32.02,3753.41,Cancelled,Bank Transfer,Basic,10,1,False,False,Winter,2020,2
148,2022-02-25,3588,3292,Electronics,Central,3307.06,10,25,264.56,19.51,2764.37,Delivered,Credit Card,Premium,7,5,True,True,Winter,2022,2
149,2022-08-23,798,3796,Clothing,North,4536.82,20,0,362.95,12.13,4911.9,Cancelled,Bank Transfer,Basic,26,1,False,False,Summer,2022,8
150,2022-06-17,3990,1118,Clothing,Central,1225.79,19,0,98.06,6.67,1330.52,Returned,Debit Card,Premium,23,1,False,True,Summer,2022,6
151,2023-06-21,1223,8772,Furniture,North,1815.89,18,20,145.27,10.96,1608.94,Delivered,Bank Transfer,Premium,4,2,False,False,Summer,2023,6
152,2022-04-24,4993,7346,Beauty,East,4350.73,13,5,348.06,3.68,4484.93,Cancelled,PayPal,Basic,26,5,True,False,Spring,2022,4
153,2020-01-30,4700,7844,Electronics,Central,3652.79,8,5,292.22,16.36,3778.73,Returned,Cash,Standard,8,,False,False,Winter,2020,1
154,2024-04-29,580,6454,Books,East,701.73,13,5,56.14,39.49,762.27,Delivered,PayPal,Premium,15,3,True,True,Spring,2024,4
155,2024-02-19,2191,7929,Clothing,West,4696.35,19,30,375.71,47.96,3711.12,Returned,Credit Card,VIP,13,3,True,False,Winter,2024,2
156,2023-07-08,2389,1361,Food,Central,123.22,14,25,9.86,27.07,129.34,Returned,PayPal,Basic,9,3,True,False,Summer,2023,7
157,2021-08-07,2594,8223,Furniture,North,919.58,6,30,73.57,35.41,752.69,Delivered,Cash,VIP,,5,False,False,Summer,2021,8
158,2023-03-20,1143,2914,Toys,South,3337.77,19,25,267.02,45.34,2815.69,Pending,Credit Card,VIP,3,4,False,True,Spring,2023,3
159,2022-01-27,3640,7809,Books,West,1936.7,1,10,154.94,17.25,1915.22,Returned,Credit Card,VIP,14,3,False,True,Winter,2022,1
160,2024-08-12,2459,8742,Books,West,4132.98,,10,330.64,24.71,4075.03,Pending,Bank Transfer,Basic,16,1,True,True,Summer,2024,8
161,2022-01-01,630,4002,Garden,Central,824.91,9,10,65.99,20.98,829.39,Returned,Debit Card,Basic,16,2,True,True,Winter,2022,1
162,2024-09-28,143,6104,Furniture,Central,2665.16,18,25,213.21,37.82,2249.9,Shipped,PayPal,Standard,14,,False,True,Fall,2024,9
163,2022-08-18,1683,4277,Sports,South,603.42,9,0,48.27,3.31,655.0,Shipped,Credit Card,Premium,23,3,True,True,Summer,2022,8
164,2023-11-30,1865,6149,Clothing,West,2951.01,15,25,236.08,47.89,2497.23,Returned,Cash,VIP,28,1,False,False,Fall,2023,11
165,2022-06-16,1383,4261,Garden,West,2618.09,3,0,209.45,7.17,2834.71,Cancelled,Bank Transfer,VIP,5,1,False,True,Summer,2022,6
166,2020-02-24,4260,8635,Beauty,East,4860.64,13,,388.85,33.96,4311.32,Delivered,PayPal,VIP,2,3,True,True,Winter,2020,2
167,2022-10-01,4842,6779,Books,North,3303.79,18,20,264.3,23.49,2930.82,Cancelled,PayPal,VIP,22,2,True,True,Fall,2022,10
168,2020-03-17,2593,7394,Clothing,North,2309.94,14,20,184.8,25.74,2058.49,Cancelled,Credit Card,Standard,2,5,True,True,Spring,2020,3
169,2023-03-06,3547,6133,Toys,Central,4007.92,16,,320.63,10.49,3737.85,Shipped,Cash,VIP,24,5,False,True,Spring,2023,3
170,2024-10-27,4926,4907,Food,East,4152.77,3,25,,10.18,3456.98,Pending,PayPal,Standard,2,4,True,True,Fall,2024,10
171,2022-01-14,989,9605,Clothing,North,3361.64,3,15,268.93,47.16,3173.48,Shipped,Debit Card,Basic,9,1,False,True,Winter,2022,1
172,2024-12-06,286,1895,Food,West,3923.52,5,10,313.88,23.76,3868.81,,Cash,Basic,30,2,True,False,Winter,2024,12
173,2024-11-09,823,5275,Sports,Central,409.67,,15,32.77,36.85,417.84,,Debit Card,Basic,4,5,True,False,Fall,2024,11
174,2021-06-17,3092,4677,Electronics,Central,875.66,19,30,70.05,16.38,699.39,Cancelled,Debit Card,Basic,19,5,False,False,Summer,2021,6
175,2024-05-20,1552,7693,Electronics,East,1338.35,16,15,107.07,6.51,1251.18,Pending,Cash,VIP,24,,True,True,Spring,2024,5
176,2024-07-01,4584,3938,Home,East,2995.18,2,0,239.61,12.68,,Shipped,PayPal,VIP,29,3,False,False,Summer,2024,7
177,2023-09-08,3827,9108,Sports,Central,3186.89,15,0,254.95,9.45,3451.29,Shipped,Bank Transfer,Standard,1,5,True,False,Fall,2023,9
178,2023-10-25,3931,5412,Electronics,North,618.73,12,20,49.5,46.46,590.94,Shipped,PayPal,Premium,18,,False,False,Fall,2023,10
179,2021-08-06,4944,2574,Home,West,3239.37,5,0,259.15,14.93,3513.45,Cancelled,Credit Card,Basic,22,2,True,False,Summer,2021,8
180,2023-11-02,4184,2548,Garden,East,4515.49,8,20,361.24,21.39,3995.02,Cancelled,Cash,Basic,24,4,False,True,Fall,2023,11
181,2023-10-11,4931,5961,Garden,West,540.59,18,0,43.25,0.29,584.13,Delivered,Debit Card,VIP,28,,False,False,Fall,2023,10
182,2022-09-20,842,8074,Beauty,Central,2362.73,15,20,189.02,12.13,2091.33,Cancelled,Credit Card,VIP,18,4,True,False,Fall,2022,9
183,2022-08-19,3838,5806,Toys,East,1725.8,8,20,138.06,10.99,1529.69,Shipped,Debit Card,Premium,16,2,True,False,Summer,2022,8
184,2020-03-06,2911,5382,Home,North,4036.01,11,15,322.88,5.7,3759.19,Returned,Credit Card,Premium,6,2,True,False,Spring,2020,3
185,2022-01-14,3881,9274,Books,West,1679.69,5,0,134.38,42.43,1856.5,Cancelled,Cash,Basic,15,1,True,False,Winter,2022,1
186,2020-03-16,2423,5986,Sports,North,3304.28,5,20,264.34,2.89,2910.65,Returned,Cash,VIP,29,1,False,True,Spring,2020,3
187,2021-10-01,3464,2809,Sports,Central,,6,0,208.92,1.39,2821.78,Shipped,Bank Transfer,Standard,10,5,False,True,Fall,2021,10
188,2022-07-19,640,9622,Home,West,498.96,14,30,39.92,20.6,409.79,Cancelled,Debit Card,VIP,5,5,True,False,Summer,2022,7
